"cntry","happy","health","brncntr","gndr","agea"
"AT",8,2,"Nacido en el país","Mujer",65
"AT",8,2,"Nacido en el país","Hombre",47
"AT",9,3,"Nacido en el país","Mujer",71
"AT",5,2,"Nacido en el país","Hombre",43
"AT",8,3,"Nacido en el país","Hombre",74
"AT",10,3,"Nacido en el país","Hombre",56
"AT",8,1,"Nacido en el país","Hombre",40
"AT",7,2,"Nacido en el país","Mujer",64
"AT",7,2,"Nacido en el país","Hombre",48
"AT",8,2,"Nacido en el país","Mujer",70
"AT",10,1,"Nacido en el país","Mujer",22
"AT",8,2,"Nacido en el país","Hombre",60
"AT",8,1,"Nacido en el país","Mujer",54
"AT",4,1,"Nacido en el país","Mujer",73
"AT",7,1,"Nacido en el país","Hombre",27
"AT",8,1,"Nacido en el país","Hombre",82
"AT",9,3,"Nacido en el país","Mujer",60
"AT",9,1,"Nacido en el país","Hombre",51
"AT",3,2,"Nacido en el país","Hombre",55
"AT",10,1,"Nacido en el país","Mujer",57
"AT",9,3,"Nacido en el país","Mujer",84
"AT",8,2,"Nacido en el país","Mujer",71
"AT",8,3,"Nacido en el país","Hombre",58
"AT",8,3,"Nacido en el país","Hombre",79
"AT",8,1,"Nacido en el país","Hombre",43
"AT",8,2,"No nacido en el país","Mujer",39
"AT",8,2,"Nacido en el país","Hombre",39
"AT",8,1,"Nacido en el país","Mujer",75
"AT",6,3,"Nacido en el país","Hombre",67
"AT",10,1,"Nacido en el país","Hombre",33
"AT",10,1,"Nacido en el país","Mujer",31
"AT",7,1,"Nacido en el país","Hombre",51
"AT",9,2,"Nacido en el país","Hombre",74
"AT",8,1,"Nacido en el país","Hombre",47
"AT",9,3,"Nacido en el país","Mujer",74
"AT",9,2,"No nacido en el país","Mujer",46
"AT",6,4,"No nacido en el país","Mujer",55
"AT",8,1,"Nacido en el país","Hombre",57
"AT",6,3,"Nacido en el país","Mujer",84
"AT",9,1,"Nacido en el país","Hombre",16
"AT",8,3,"Nacido en el país","Hombre",74
"AT",5,3,"No nacido en el país","Hombre",67
"AT",8,2,"Nacido en el país","Hombre",60
"AT",9,1,"Nacido en el país","Hombre",61
"AT",9,2,"Nacido en el país","Mujer",71
"AT",7,2,"Nacido en el país","Hombre",55
"AT",10,1,"Nacido en el país","Hombre",31
"AT",6,2,"Nacido en el país","Mujer",33
"AT",8,1,"Nacido en el país","Hombre",30
"AT",5,3,"No nacido en el país","Hombre",68
"AT",8,2,"Nacido en el país","Hombre",42
"AT",8,2,"Nacido en el país","Mujer",72
"AT",9,1,"Nacido en el país","Mujer",56
"AT",7,2,"Nacido en el país","Mujer",48
"AT",7,3,"Nacido en el país","Mujer",29
"AT",10,2,"Nacido en el país","Hombre",80
"AT",8,2,"Nacido en el país","Hombre",52
"AT",6,2,"Nacido en el país","Mujer",37
"AT",8,1,"Nacido en el país","Hombre",62
"AT",8,1,"Nacido en el país","Mujer",27
"AT",8,3,"No nacido en el país","Hombre",67
"AT",5,3,"Nacido en el país","Mujer",90
"AT",8,2,"No nacido en el país","Hombre",70
"AT",5,1,"Nacido en el país","Hombre",45
"AT",7,3,"Nacido en el país","Hombre",44
"AT",9,1,"Nacido en el país","Mujer",52
"AT",7,1,"Nacido en el país","Mujer",54
"AT",8,3,"Nacido en el país","Mujer",59
"AT",10,2,"Nacido en el país","Mujer",33
"AT",5,3,"Nacido en el país","Hombre",33
"AT",8,1,"Nacido en el país","Mujer",71
"AT",8,2,"Nacido en el país","Hombre",43
"AT",9,1,"Nacido en el país","Hombre",38
"AT",8,2,"Nacido en el país","Hombre",34
"AT",8,2,"Nacido en el país","Hombre",66
"AT",9,3,"Nacido en el país","Hombre",85
"AT",9,1,"Nacido en el país","Mujer",60
"AT",10,2,"No nacido en el país","Mujer",56
"AT",7,2,"Nacido en el país","Mujer",28
"AT",6,3,"Nacido en el país","Mujer",49
"AT",8,1,"Nacido en el país","Mujer",26
"AT",8,2,"Nacido en el país","Hombre",48
"AT",9,2,"Nacido en el país","Hombre",75
"AT",7,3,"Nacido en el país","Hombre",49
"AT",10,2,"Nacido en el país","Hombre",57
"AT",8,1,"Nacido en el país","Hombre",23
"AT",7,3,"Nacido en el país","Mujer",69
"AT",7,3,"Nacido en el país","Mujer",77
"AT",8,2,"Nacido en el país","Hombre",34
"AT",8,1,"Nacido en el país","Mujer",42
"AT",9,2,"Nacido en el país","Hombre",79
"AT",8,2,"Nacido en el país","Hombre",42
"AT",7,3,"Nacido en el país","Hombre",73
"AT",3,2,"Nacido en el país","Mujer",32
"AT",8,2,"Nacido en el país","Hombre",80
"AT",6,4,"No nacido en el país","Mujer",62
"AT",10,3,"Nacido en el país","Hombre",68
"AT",8,2,"Nacido en el país","Hombre",49
"AT",10,1,"Nacido en el país","Mujer",60
"AT",9,1,"Nacido en el país","Mujer",80
"AT",9,1,"Nacido en el país","Hombre",43
"AT",8,1,"Nacido en el país","Mujer",41
"AT",9,1,"Nacido en el país","Mujer",55
"AT",8,1,"Nacido en el país","Mujer",25
"AT",8,2,"Nacido en el país","Hombre",34
"AT",8,2,"Nacido en el país","Mujer",48
"AT",9,2,"Nacido en el país","Hombre",58
"AT",9,3,"Nacido en el país","Mujer",79
"AT",8,1,"Nacido en el país","Hombre",24
"AT",10,2,"Nacido en el país","Mujer",62
"AT",7,4,"Nacido en el país","Mujer",83
"AT",7,2,"Nacido en el país","Hombre",65
"AT",8,2,"Nacido en el país","Mujer",51
"AT",8,4,"No nacido en el país","Hombre",56
"AT",9,2,"Nacido en el país","Hombre",58
"AT",8,2,"Nacido en el país","Mujer",74
"AT",8,1,"Nacido en el país","Mujer",19
"AT",8,2,"Nacido en el país","Hombre",31
"AT",8,3,"Nacido en el país","Mujer",69
"AT",10,1,"Nacido en el país","Mujer",19
"AT",8,2,"Nacido en el país","Hombre",50
"AT",9,1,"Nacido en el país","Mujer",15
"AT",9,2,"Nacido en el país","Hombre",88
"AT",8,2,"Nacido en el país","Mujer",53
"AT",10,2,"Nacido en el país","Mujer",87
